Varebetegnelse,KJ pr.,Protein,Fedt,Kulhydrat,Tilsat sukker,Kostfibre,Alkohol,Vand,Kcal pr.,
"A38, acidophilus tykmælk",272,"3,7","3,5","4,7",0,0,0,"87,3",65, 
"Aborre, rå",356,"18,1","1,3",0,0,0,0,81,85,
"Abrikos, konserves, let sukkerlage",278,"0,5","0,1","16,4","14,9","1,5",0,"81,9",66,
"Abrikos, rå",170,"0,8","0,3","9,4",0,"1,6",0,"88,8",41,
"Abrikos, tørret",1159,"2,9","1,7","66,5",0,"9,3",0,"26,2",277,
"Agurk, rå",45,"0,7","0,1","2,1",0,"0,7",0,"96,7",11,
"Agurk, syltet",296,"0,3","0,2","17,3",15,"1,2",0,"79,1",71,
"Agurk, syltet, uden tilsat sukker",41,"0,3","0,2","2,3",0,"1,2",0,"94,1",10,
"Ananas, konserves",269,"0,4","0,3","15,5","2,5","1,4",0,"83,5",64,
"Ananas, rå",232,"0,5","0,4",13,0,"1,4",0,"85,7",55,
"Ananasjuice, konserves",229,"0,4","0,1","12,9",,"0,1",0,"86,4",55,
"Ananaskirsebær, kapstikkelbær, rå",172,"0,9","0,6","10,2",0,"4,3",0,"87,9",41,
"And, brystkød, rå",497,"19,9","4,3",0,0,0,0,75,119,
"And, kød og skind, rå",1650,"11,5","39,3",0,0,0,0,"48,5",394,
"And, kød, rå",500,"18,3","5,1",0,0,0,0,"73,8",120,
"Ansjos, marineret, konserves",879,"13,4",13,10,10,0,0,53,210,
"Appelsin, rå",215,"0,9","0,6","11,5",0,2,0,87,51,
"Appelsinjuice, konserves",180,"0,6","0,1","9,9",0,"0,2",0,89,43,
Appelsinmarmelade,858,"0,5","0,3","49,7",44,"0,7",0,47,205,
"Artiskok, rå",193,"3,3","0,2","10,5",,"5,4",0,"84,9",46,
"Asier, syltede",312,"0,5","0,5",17,16,"0,5",0,82,75,
"Asier, syltede, uden tilsat sukker",65,"0,5","0,5","2,5",0,"0,5",0,"96,5",16,
"Asparges, grønne, rå",109,"1,8","0,3","4,9",0,"1,8",0,"92,5",26,
"Asparges, hvide, rå",109,"2,4","0,3","4,3",0,"1,8",0,"92,4",26,
"Asparges, konserves",67,"1,6","0,1","2,9",,"1,5",0,"94,4",16,
"Asparges, uspec., rå",99,"1,9","0,3","4,2",0,"1,8",0,"93,3",24,
"Aubergine, rå",82,"0,9","0,1",5,0,"2,4",0,"93,5",20,
"Avocado, rå",765,"1,9","15,7","11,7",0,"5,2",0,68,183,
"Bacon i skiver, rå",1076,"15,9","21,4","0,8",0,0,0,"58,3",257,
"Bacon i tern, rå",1076,"15,9","21,4","0,8",0,0,0,"58,3",257,
"Bagegær, presset, rå",465,"8,4","1,9","18,1",0,"6,2",0,69,111,
Bagepulver,731,"5,2",0,"37,8",0,0,0,"6,3",175,
"Baked beans i tomatsovs, konserves",399,"5,1","0,5","20,8",,"6,6",0,"73,6",95,
"Bambusskud, konserves, saltet",106,"2,6","0,1","3,7",0,"0,5",0,"93,4",25,
"Bambusskud, konserves, usaltet",106,"2,6","0,1","3,7",0,"0,5",0,"93,4",25,
"Bambusskud, rå",172,"3,6","0,1","6,7",0,"0,7",0,"88,6",41,
"Banan, rå",342,"1,3","0,3",19,0,"1,6",0,"76,6",82,
"Batat, sød kartoffel, rå",298,"1,3","0,3",17,0,"2,7",0,"80,3",71,
"Bayonneskinke, udbenet",804,"20,8",12,"0,4",,0,0,"62,2",192,
"Birkes, frø",2273,18,"44,7","23,7",,10,0,"6,8",543,
"Bitter, sød, uspec.",1106,0,0,18,18,0,"27,6","53,9",264,
"Bitter, uspec.",873,0,0,"0,2","0,2",0,30,"69,3",209,
"Bladbede, sølvbede, rå",86,"1,8","0,2","3,7",0,"1,6",0,"92,7",21,
"Bladselleri, rå",93,"0,7","0,2","5,2",0,"1,6",0,"92,9",22,
Blodpølse,1298,"10,7","20,8",23,0,5,0,"43,7",310,
"Blomkål, dansk, rå",99,2,"0,4","4,2",0,"2,4",0,"92,6",24,
"Blomkål, dybfrost",116,2,"0,3","4,7",0,1,0,"92,5",28,
"Blomkål, importeret, rå",132,"3,1","0,4","5,2",0,"2,7",0,"90,5",32,
"Blomkål, uspec., rå",116,"2,4","0,4","4,7",0,"2,2",0,"91,7",28,
"Blomme, rå",179,"0,5","0,3","10,2",0,"1,6",0,"86,7",43,
"Blæksprutte, rå",338,"16,4","0,9","1,5",0,0,0,81,81,
"Blåbær, frosne, usukrede",223,"0,4","0,6","12,2",0,"1,5",0,"86,6",53,
"Blåbær, rå",201,"0,7","0,5","11,5",0,"2,8",0,"87,1",48,
"Boghvede, hel, rå",1531,"12,6","3,7","71,5",,4,0,"10,4",366,
"Boghvedegryn, rå",1507,7,"1,4","79,8",0,"2,3",0,"10,9",360,
Boghvedemel,1495,"6,6",2,78,0,"1,9",0,"12,6",357,
"Bolcher, blandede",1658,0,0,"97,5","82,8",0,0,"2,4",396,
"Bolcher, uspec.",1754,"0,3",4,"94,2",,0,0,"2,5",419,
Bomuldsfrøolie,3700,0,100,0,0,0,0,0,884,
"Bondebrød med fedtrige frø, industrifremstillet",1011,9,"5,2",44,0,"9,1",0,40,242,
"Bondebrød, uden fedtrige frø, industrifremstillet",965,"6,5","1,3",50,0,"4,9",0,41,231,
"Bouillon, hønsekød, spiseklar",18,"0,3","0,2","0,3",,0,0,"98,3",4,
"Bouillon, oksekød, koncentreret, terning",676,17,"3,2","15,8",,0,0,24,162,
"Bouillon, oksekød, terning, spiseklar",26,"1,1","0,2",0,,0,0,"97,5",6,
"Brasen, rå",432,"16,7",4,0,0,0,0,77,103,
"Brie, 45+",1171,"20,8",22,"0,2",0,0,0,"53,1",280,
"Brie, 50+",1369,"19,8","27,8","0,2",0,0,0,"49,3",327,
"Brie, 60+",1542,"17,4","33,6","0,2",0,0,0,"45,8",369,
"Brisling (ansjovis), marineret, konserves",879,"13,4",13,10,10,0,0,53,210,
"Brisling (sardin), i olie, konserves",844,"24,6","11,5",0,0,0,0,"59,6",202,
"Brisling (sardin), i tomat, konserves",857,"15,1",16,"0,5",0,0,0,66,205,
"Brisling, rå",674,"16,8","10,5",0,0,0,0,"71,5",161,
"Brissel, kalv, rå",451,"17,8",4,0,0,0,0,74,108,
"Broccoli, dybfrost",113,"2,8","0,3","4,8",,3,0,"91,5",27,
"Broccoli, kogt",148,"2,4","0,4","7,2",,"3,3",0,"89,3",35,
"Broccoli, rå",187,"5,3","0,6","6,1",0,"3,2",0,"87,8",45,
"Brombær, dybfrost, usukrede",278,"1,2","0,4","15,7",0,"2,7",0,"82,2",66,
"Brombær, rå",175,"1,4",1,9,0,"4,3",0,"88,2",42,
"Brosme, rå",334,19,"0,3",0,0,0,0,"79,4",80,
"Brune bønner, tørrede",1313,"18,9",2,"63,4",0,"17,8",0,"12,3",314,
"Brune linser, tørrede, rå",1422,"25,1",2,"60,1",,"11,2",0,"10,2",340,
"Brøndkarse, rå",61,"1,7","0,2","2,1",0,"1,2",0,"94,1",15,
Buddingpulver,1478,"0,3",0,"87,5",0,"1,6",0,"12,1",353,
"Bulgur (hvedekerner, knækkede, parboiled), rå",1503,"10,8","2,3","76,7",0,"7,7",0,"9,1",359,
"Byggryn, rå",1467,"9,2","2,4","76,9",0,"9,5",0,10,351,
Bygmel,1423,"9,2",3,72,0,"7,6",0,14,340,
"Bækforel, filet, røget",884,"29,6","10,3",0,0,0,0,"54,6",211,
"Bækforel, rå",448,"20,5","2,7",0,0,0,0,"77,6",107,
"Bønnespirer, adzuki, rå",568,10,1,24,0,"5,2",0,"64,2",136,
"Bønnespirer, mung, rå",142,3,"0,2","5,9",0,"1,8",0,"90,4",34,
"Bønnespirer, soja, konserves",72,"1,6","0,2","3,8",0,3,0,"95,4",17,
"Bønnespirer, soja, rå",240,"6,2","1,4","5,3",0,"0,8",0,"86,3",57,
"Bønnespirer, uspec., rå",135,3,"0,3","4,9",0,"1,2",0,90,32,
"Cacao, instant, med mælk, pulver",1558,"16,2","3,4","71,8","70,3","7,1",0,"3,6",372,
"Cacao, instant, uden mælk, pulver",1663,"5,3","3,8","87,4","70,3","5,9",0,"1,3",397,
"Cacao, pulver",1686,"22,5","21,9","41,7",0,24,0,"5,1",403,
Cacaomælk,295,"3,7","1,8",10,"4,5","0,5",0,"83,8",71,
Cacaomælk (UHT),293,"3,6","1,7","10,2","5,1","0,5",0,"83,8",70,
